symbol,name,token
DTIL-EQ,DTIL,6227
DUCON-EQ,DUCON,28952
DVL-EQ,DVL,15214
DWARKESH-EQ,DWARKESH,11667
DYCL-EQ,DYCL,10417
DYNAMATECH-EQ,DYNAMATECH,4525
DYNPRO-EQ,DYNPRO,21314
E2E-EQ,E2E,8937
EASEMYTRIP-EQ,EASEMYTRIP,2792
EBANKNIFTY-EQ,EBANKNIFTY,25258
EBBETF0430-EQ,EBBETF0430,16253
EBBETF0431-EQ,EBBETF0431,22239
EBBETF0433-EQ,EBBETF0433,13139
ECAPINSURE-EQ,ECAPINSURE,29019
ECLERX-EQ,ECLERX,15179
ECOSMOBLTY-EQ,ECOSMOBLTY,25060
EDELWEISS-EQ,EDELWEISS,15119
EGOLD-EQ,EGOLD,19933
EICHERMOT-EQ,EICHERMOT,910
EIDPARRY-EQ,EIDPARRY,916
EIEL-EQ,EIEL,27213
EIHAHOTELS-EQ,EIHAHOTELS,15399
EIHOTEL-EQ,EIHOTEL,919
EIMCOELECO-EQ,EIMCOELECO,4040
EKC-EQ,EKC,13091
ELDEHSG-EQ,ELDEHSG,8953
ELECON-EQ,ELECON,13643
ELECTCAST-EQ,ELECTCAST,928
ELECTHERM-EQ,ELECTHERM,4469
ELGIEQUIP-EQ,ELGIEQUIP,937
ELLEN-EQ,ELLEN,758563
EMAMILTD-EQ,EMAMILTD,13517
EMAMIPAP-EQ,EMAMIPAP,10074
EMBDL-EQ,EMBDL,14450
EMCURE-EQ,EMCURE,24398
EMIL-EQ,EMIL,11530
EMKAY-EQ,EMKAY,13421
EMMBI-EQ,EMMBI,18142
EMSLIMITED-EQ,EMSLIMITED,18593
EMUDHRA-EQ,EMUDHRA,9756
EMULTIMQ-EQ,EMULTIMQ,25996
ENDURANCE-EQ,ENDURANCE,18822
ENGINERSIN-EQ,ENGINERSIN,4907
ENIL-EQ,ENIL,13192
ENRIN-EQ,ENRIN,756871
ENTERO-EQ,ENTERO,22717
EPACK-EQ,EPACK,22463
EPIGRAL-EQ,EPIGRAL,5382
EPL-EQ,EPL,981
EQUAL200-EQ,EQUAL200,30121
EQUAL50-EQ,EQUAL50,757142
EQUAL50ADD-EQ,EQUAL50ADD,6606
EQUITASBNK-EQ,EQUITASBNK,913
ERIS-EQ,ERIS,21154
ESABINDIA-EQ,ESABINDIA,955
ESAFSFB-EQ,ESAFSFB,19878
ESCORTS-EQ,ESCORTS,958
ESG-EQ,ESG,1200
ESILVER-EQ,ESILVER,20257
ESSENTIA-EQ,ESSENTIA,30323
ESTER-EQ,ESTER,24265
ETERNAL-EQ,ETERNAL,5097
ETHOSLTD-EQ,ETHOSLTD,9750
EUREKAFORB-EQ,EUREKAFORB,25162
EUROTEXIND-EQ,EUROTEXIND,999
EVEREADY-EQ,EVEREADY,11782
EVIETF-EQ,EVIETF,755881
EVINDIA-EQ,EVINDIA,24461
EXCEL-EQ,EXCEL,17376
EXCELINDUS-EQ,EXCELINDUS,11471
EXICOM-EQ,EXICOM,22947
EXIDEIND-EQ,EXIDEIND,676
EXPLEOSOL-EQ,EXPLEOSOL,17486
FACT-EQ,FACT,1008
FAIRCHEMOR-EQ,FAIRCHEMOR,1614
FAZE3Q-EQ,FAZE3Q,12000
FCL-EQ,FCL,6198
FCSSOFT-EQ,FCSSOFT,11999
FDC-EQ,FDC,4898
FEDERALBNK-EQ,FEDERALBNK,1023
FEDFINA-EQ,FEDFINA,20322
FIBERWEB-EQ,FIBERWEB,8159
FIEMIND-EQ,FIEMIND,13710
FILATEX-EQ,FILATEX,24532
FILATFASH-EQ,FILATFASH,23647
FINCABLES-EQ,FINCABLES,1038
FINEORG-EQ,FINEORG,3744
FINIETF-EQ,FINIETF,12578
FINOPB-EQ,FINOPB,6579
FINPIPE-EQ,FINPIPE,1041
FIRSTCRY-EQ,FIRSTCRY,24814
FISCHER-EQ,FISCHER,757658
FIVESTAR-EQ,FIVESTAR,12032
FLAIR-EQ,FLAIR,20372
FLUOROCHEM-EQ,FLUOROCHEM,13750
FMCGIETF-EQ,FMCGIETF,5306
FMGOETZE-EQ,FMGOETZE,1190
FORCEMOT-EQ,FORCEMOT,11573
FORTIS-EQ,FORTIS,14592
FOSECOIND-EQ,FOSECOIND,1073
FSL-EQ,FSL,14304
FUSION-EQ,FUSION,11932
G1NSETEST-EQ,G1NSETEST,12842
GABRIEL-EQ,GABRIEL,1085
GAEL-EQ,GAEL,8828
GAIL-EQ,GAIL,4717
GALAPREC-EQ,GALAPREC,25134
GALAXYSURF-EQ,GALAXYSURF,1315
GALLANTT-EQ,GALLANTT,13337
GANDHAR-EQ,GANDHAR,20303
GANDHITUBE-EQ,GANDHITUBE,14116
GANECOS-EQ,GANECOS,6944
GANESHBE-EQ,GANESHBE,5614
GANESHHOUC-EQ,GANESHHOUC,14339
GANGAFORGE-EQ,GANGAFORGE,4957
GANGESSECU-EQ,GANGESSECU,21399
GARFIBRES-EQ,GARFIBRES,1100
GARUDA-EQ,GARUDA,25800
GATEWAY-EQ,GATEWAY,8510
GEECEE-EQ,GEECEE,13658
GEEKAYWIRE-EQ,GEEKAYWIRE,17922
GENESYS-EQ,GENESYS,10905
GENUSPAPER-EQ,GENUSPAPER,6600
GENUSPOWER-EQ,GENUSPOWER,11905
GEOJITFSL-EQ,GEOJITFSL,11896
GEPIL-EQ,GEPIL,7862
GESHIP-EQ,GESHIP,13776
GFLLIMITED-EQ,GFLLIMITED,1289
GHCL-EQ,GHCL,1127
GHCLTEXTIL-EQ,GHCLTEXTIL,16696
GICHSGFIN-EQ,GICHSGFIN,1139
GICRE-EQ,GICRE,277
GILLANDERS-EQ,GILLANDERS,17839
GILLETTE-EQ,GILLETTE,1576
GILT5YBEES-EQ,GILT5YBEES,3172
GIPCL-EQ,GIPCL,1145
GKWLIMITED-EQ,GKWLIMITED,17357
GLAND-EQ,GLAND,1186
GLAXO-EQ,GLAXO,1153
GLENMARK-EQ,GLENMARK,7406
GLOBALVECT-EQ,GLOBALVECT,13735
GLOBE-EQ,GLOBE,393
GLOBECIVIL-EQ,GLOBECIVIL,758572
