symbol,token,name,lotsize
MARALOVER,2112,MARALOVER,1
SIS,21501,SIS,1
DIXON,21690,DIXON,1
SUNDARMHLD,2183,SUNDARMHLD,1
HDFCPSUBK,22595,HDFCPSUBK,1
RPTECH,22670,RPTECH,1
JUNIPER,22824,JUNIPER,1
HAL,2303,HAL,1
BESTAGRO,2306,BESTAGRO,1
JGCHEM,23056,JGCHEM,1
AIIL,23553,AIIL,1
GLOSTERLTD,23590,GLOSTERLTD,1
MUTHOOTFIN,23650,MUTHOOTFIN,1
TBOTEK,23740,TBOTEK,1
MIDSMALL,23855,MIDSMALL,1
AWFIS,23864,AWFIS,1
FILATEX,24532,FILATEX,1
ONGC,2475,ONGC,1
MANCREDIT,24823,MANCREDIT,1
MODEFENCE,24944,MODEFENCE,1
TDPOWERSYS,25178,TDPOWERSYS,1
KROSS,25252,KROSS,1
BAJAJHFL,25270,BAJAJHFL,1
EBANKNIFTY,25258,EBANKNIFTY,1
PANAMAPET,25392,PANAMAPET,1
WCIL,25403,WCIL,1
MINDACORP,25897,MINDACORP,1
ATUL,263,ATUL,1
AFCONS,25977,AFCONS,1
AVL,25984,AVL,1
HEXATRADEX,27008,HEXATRADEX,1
PRAJIND,2705,PRAJIND,1
SAMPANN,27303,SAMPANN,1
GICRE,277,GICRE,1
AUTOAXLES,278,AUTOAXLES,1
SAILIFE,27839,SAILIFE,1
RCF,2866,RCF,1
SENORES,28888,SENORES,1
ECAPINSURE,29019,ECAPINSURE,1
LAXMIDENTL,29171,LAXMIDENTL,1
NIF100BEES,29577,NIF100BEES,1
UNIONGOLD,29687,UNIONGOLD,1
GUJTHEM,29731,GUJTHEM,1
ORTINGLOBE,2979,ORTINGLOBE,1
SANDESH,2988,SANDESH,1
SANGHIIND,2997,SANGHIIND,1
CASHIETF,30139,CASHIETF,1
ITIETF,22365,ITIETF,1
MAXHEALTH,22377,MAXHEALTH,1
NIFITETF,22488,NIFITETF,1
LICNMID100,22722,LICNMID100,1
MRF,2277,MRF,1
GOLDCASE,22901,GOLDCASE,1
MUKKA,22980,MUKKA,1
RKSWAMY,23043,RKSWAMY,1
MURUDCERA,2313,MURUDCERA,1
CPSEETF,2328,CPSEETF,1
INDGN,23693,INDGN,1
NELCO,2388,NELCO,1
MID150CASE,24077,MID150CASE,1
AFIL,24159,AFIL,1
DHANUKA,24409,DHANUKA,1
SBINEQWETF,24524,SBINEQWETF,1
GROWWEV,24798,GROWWEV,1
RAYMONDLSL,25073,RAYMONDLSL,1
PNGJL,25312,PNGJL,1
ARKADE,25398,ARKADE,1
RUPA,25724,RUPA,1
MTARTECH,2709,MTARTECH,1
CHEMFAB,2799,CHEMFAB,1
RAJSREESUG,2809,RAJSREESUG,1
RELIANCE,2885,RELIANCE,1
MAYURUNIQ,28906,MAYURUNIQ,1
RICOAUTO,2909,RICOAUTO,1
DDEVPLSTIK,29098,DDEVPLSTIK,1
INDUSTOWER,29135,INDUSTOWER,1
ITCHOTELS,29251,ITCHOTELS,1
DENTA,29256,DENTA,1
RUBYMILLS,2939,RUBYMILLS,1
MOCAPITAL,30065,MOCAPITAL,1
ORIENTCEM,30089,ORIENTCEM,1
SELECTIPO,30109,SELECTIPO,1
SOTL,3021,SOTL,1
SBIBPB,30290,SBIBPB,1
VEDL,3063,VEDL,1
SHREDIGCEM,3099,SHREDIGCEM,1
TRANSWORLD,3129,TRANSWORLD,1
NBCC,31415,NBCC,1
SREEL,31837,SREEL,1
SPIC,3252,SPIC,1
SUNDARMFIN,3339,SUNDARMFIN,1
TAINWALCHM,3396,TAINWALCHM,1
TATACHEM,3405,TATACHEM,1
THERMAX,3475,THERMAX,1
CLSEL,3482,CLSEL,1
TITAN,3506,TITAN,1
VESUVIUS,3676,VESUVIUS,1
ANMOL,3727,ANMOL,1
BHARATRAS,3834,BHARATRAS,1
BEML,395,BEML,1
GOCLCORP,3963,GOCLCORP,1
REMSONSIND,3965,REMSONSIND,1
BERGEPAINT,404,BERGEPAINT,1
GREENPLY,3987,GREENPLY,1
ZENITHEXPO,4176,ZENITHEXPO,1
MOTHERSON,4204,MOTHERSON,1
ELECTHERM,4469,ELECTHERM,1
DYNAMATECH,4525,DYNAMATECH,1
GUJRAFFIA,4548,GUJRAFFIA,1
HAPPSTMNDS,48,HAPPSTMNDS,1
ICEMAKE,489,ICEMAKE,1
ENGINERSIN,4907,ENGINERSIN,1
GANGAFORGE,4957,GANGAFORGE,1
IRCON,4986,IRCON,1
JAICORPLTD,5143,JAICORPLTD,1
TRIGYN,5428,TRIGYN,1
APTUS,5435,APTUS,1
SDL26BEES,3022,SDL26BEES,1
BAJAJHLDNG,305,BAJAJHLDNG,1
SPECTRUM,30455,SPECTRUM,1
MID150,30469,MID150,1
SHREECEM,3103,SHREECEM,1
SIMPLEXINF,3162,SIMPLEXINF,1
SRF,3273,SRF,1
STARPAPER,3291,STARPAPER,1
TATAPOWER,3426,TATAPOWER,1
AXISHCETF,3608,AXISHCETF,1
VARDMNPOLY,3646,VARDMNPOLY,1
VINDHYATEL,3694,VINDHYATEL,1
TATACOMM,3721,TATACOMM,1
MAHLOG,385,MAHLOG,1
WHEELS,3766,WHEELS,1
VARROC,3857,VARROC,1
SAMBHAAV,4127,SAMBHAAV,1
DENORA,4279,DENORA,1
PUNJABCHEM,4344,PUNJABCHEM,1
JAGSNPHARM,4410,JAGSNPHARM,1
AARTIDRUGS,4481,AARTIDRUGS,1
INDNIPPON,4747,INDNIPPON,1
KIMS,4847,KIMS,1
CLEAN,5049,CLEAN,1
KPIGREEN,5108,KPIGREEN,1
PRITIKAUTO,5292,PRITIKAUTO,1
DEVYANI,5373,DEVYANI,1
NUVOCO,5426,NUVOCO,1
CHEMPLASTS,5449,CHEMPLASTS,1
ADANIPOWER,17388,ADANIPOWER,1
EXPLEOSOL,17486,EXPLEOSOL,1
ASALCBR,17598,ASALCBR,1
SENSEXADD,17613,SENSEXADD,1
ZYDUSWELL,17635,ZYDUSWELL,1
BEARDSELL,17933,BEARDSELL,1
COHANCE,17945,COHANCE,1
SBFC,18026,SBFC,1
TVSSCS,18151,TVSSCS,1
KECL,18220,KECL,1
PYRAMID,18250,PYRAMID,1
LGBBROSLTD,18321,LGBBROSLTD,1
RISHABH,18417,RISHABH,1
GNA,18571,GNA,1
DIAMINESQ,18644,DIAMINESQ,1
STYRENIX,19,STYRENIX,1
KOPRAN,1919,KOPRAN,1
TI,19196,TI,1
MASFIN,199,MASFIN,1
RADIOCITY,19877,RADIOCITY,1
LICHSGFIN,1997,LICHSGFIN,1
INFRABEES,20072,INFRABEES,1
JWL,20224,JWL,1
OBEROIRLTY,20242,OBEROIRLTY,1
SHANKARA,20321,SHANKARA,1
RAMCOCEM,2043,RAMCOCEM,1
CHENNPETRO,2049,CHENNPETRO,1
HOMEFIRST,2056,HOMEFIRST,1
JAMNAAUTO,20778,JAMNAAUTO,1
AZAD,20905,AZAD,1
MANGLMCEM,2106,MANGLMCEM,1
KICL,21119,KICL,1
ASHOKLEY,212,ASHOKLEY,1
CDSL,21174,CDSL,1
LOWVOLIETF,21254,LOWVOLIETF,1
BDL,2144,BDL,1
STEELXIND,21339,STEELXIND,1
AVADHSUGAR,21406,AVADHSUGAR,1
MOM100,21423,MOM100,1
MATRIMONY,21726,MATRIMONY,1
CAPACITE,21749,CAPACITE,1
INDTERRAIN,21957,INDTERRAIN,1
IEX,220,IEX,1
UTIBANKETF,22440,UTIBANKETF,1
NIF5GETF,22521,NIF5GETF,1
MRPL,2283,MRPL,1
SMALLCAP,22832,SMALLCAP,1
HEIDELBERG,2316,HEIDELBERG,1
MOSMALL250,23181,MOSMALL250,1
BBNPNBETF,24117,BBNPNBETF,1
VSTTILLERS,24292,VSTTILLERS,1
OILIETF,24533,OILIETF,1
RUBFILA,24730,RUBFILA,1
INVENTURE,24870,INVENTURE,1
LTF,24948,LTF,1
PGEL,25358,PGEL,1
NIRAJ,255,NIRAJ,1
MANBA,25597,MANBA,1
SRD,25737,SRD,1
KANANIIND,25786,KANANIIND,1
LLOYDSENT,25807,LLOYDSENT,1
PEARLPOLY,2610,PEARLPOLY,1
LEMONTREE,2606,LEMONTREE,1
MASTERTR,27047,MASTERTR,1
PRECWIRE,2717,PRECWIRE,1
ROSSELLIND,28913,ROSSELLIND,1
PROTEAN,29472,PROTEAN,1
REPCOHOME,29598,REPCOHOME,1
BAJAJINDEF,29678,BAJAJINDEF,1
BSE500IETF,3001,BSE500IETF,1
EQUAL200,30121,EQUAL200,1
AXISVALUE,30155,AXISVALUE,1
SBIN,3045,SBIN,1
AONELIQUID,30472,AONELIQUID,1
BORORENEW,3149,BORORENEW,1
ISGEC,3329,ISGEC,1
SUNPHARMA,3351,SUNPHARMA,1
ADOR,34,ADOR,1
SURYAROSNI,3375,SURYAROSNI,1
TATAELXSI,3411,TATAELXSI,1
UCAL,3570,UCAL,1
HEALTHIETF,3626,HEALTHIETF,1
FINEORG,3744,FINEORG,1
PARASPETRO,3972,PARASPETRO,1
SUNDRMBRAK,4179,SUNDRMBRAK,1
KHADIM,425,KHADIM,1
WENDT,4235,WENDT,1
SHRIRAMFIN,4306,SHRIRAMFIN,1
BHEL,438,BHEL,1
SENSEXIETF,4378,SENSEXIETF,1
GULFOILLUB,4391,GULFOILLUB,1
MIRZAINT,4394,MIRZAINT,1
MPHASIS,4503,MPHASIS,1
